	precision	recall	f1-score	support
Interlingua (ina)	0.9310344827586207	0.949748743718593	0.9402985074626866	199.0
Indonesian (ind)	0.3333333333333333	0.005128205128205128	0.010101010101010102	195.0
Icelandic (isl)	0.968421052631579	0.9484536082474226	0.9583333333333333	194.0
Italian (ita)	0.8028169014084507	0.855	0.828087167070218	200.0
Jamaican Patois (jam)	0.8290598290598291	0.97	0.8940092165898618	200.0
Javanese (jav)	0.8542713567839196	0.85	0.8521303258145363	200.0
Lojban (jbo)	1.0	0.96	0.9795918367346939	200.0
Japanese (jpn)	0.9897959183673469	0.97	0.9797979797979798	200.0
Karakalpak (kaa)	0.988950276243094	0.895	0.9396325459317585	200.0
Kabyle (kab)	0.9259259259259259	0.875	0.8997429305912596	200.0
Kannada (kan)	0.9014084507042254	0.96	0.9297820823244551	200.0
Georgian (kat)	0.9689119170984456	0.935	0.9516539440203563	200.0
Kazakh (kaz)	0.9572192513368984	0.9623655913978495	0.9597855227882037	186.0
Kabardian (kbd)	0.9798994974874372	0.975	0.9774436090225564	200.0
Central Khmer (khm)	0.9516129032258065	0.885	0.917098445595855	200.0
Kinyarwanda (kin)	0.9293478260869565	0.8592964824120602	0.8929503916449087	199.0
Kirghiz (kir)	0.903954802259887	0.8888888888888888	0.8963585434173669	180.0
Komi-Permyak (koi)	0.848780487804878	0.87	0.8592592592592593	200.0
Konkani (kok)	0.8	0.7715736040609137	0.785529715762274	197.0
Komi (kom)	0.9096385542168675	0.7947368421052632	0.848314606741573	190.0
Korean (kor)	0.9949238578680203	0.98	0.9874055415617129	200.0
Karachay-Balkar (krc)	0.9141414141414141	0.905	0.9095477386934674	200.0
Ripuarisch (ksh)	0.6743295019157088	0.88	0.7635574837310196	200.0
Kurdish (kur)	0.9027777777777778	0.975	0.9375	200.0
Ladino (lad)	0.8634146341463415	0.885	0.874074074074074	200.0
Lao (lao)	0.9830508474576272	0.8787878787878788	0.9279999999999999	198.0
Latin (lat)	0.8961748633879781	0.8586387434554974	0.877005347593583	191.0
Latvian (lav)	0.9361702127659575	0.8844221105527639	0.9095607235142119	199.0
Lezghian (lez)	0.9611111111111111	0.865	0.9105263157894737	200.0
Ligurian (lij)	0.917098445595855	0.885	0.900763358778626	200.0
Limburgan (lim)	0.7606382978723404	0.8773006134969326	0.8148148148148148	163.0
Lingala (lin)	0.8910891089108911	0.9090909090909091	0.9	198.0
Lithuanian (lit)	0.949238578680203	0.9396984924623115	0.9444444444444445	199.0
Lombard (lmo)	0.9166666666666666	0.77	0.8369565217391305	200.0
Northern Luri (lrc)	0.9375	0.7537688442211056	0.8356545961002786	199.0
Latgalian (ltg)	0.8767772511848341	0.9343434343434344	0.9046454767726161	198.0
Luxembourgish (ltz)	0.8350515463917526	0.8140703517587939	0.8244274809160306	199.0
Luganda (lug)	0.9166666666666666	0.8979591836734694	0.9072164948453607	196.0
Literary Chinese (lzh)	0.912621359223301	0.94	0.9261083743842364	200.0
Maithili (mai)	0.8356164383561644	0.9195979899497487	0.875598086124402	199.0
Malayalam (mal)	1.0	0.97	0.9847715736040609	200.0
Banyumasan (map-bms)	0.8279569892473119	0.77	0.7979274611398963	200.0
Marathi (mar)	0.9470588235294117	0.805	0.8702702702702704	200.0
Moksha (mdf)	0.8545454545454545	0.9494949494949495	0.8995215311004785	198.0
Eastern Mari (mhr)	0.9042553191489362	0.8542713567839196	0.8785529715762275	199.0
Minangkabau (min)	0.9848484848484849	0.948905109489051	0.966542750929368	137.0
Macedonian (mkd)	0.9473684210526315	0.9137055837563451	0.9302325581395349	197.0
Malagasy (mlg)	0.9891304347826086	0.9732620320855615	0.981132075471698	187.0
Maltese (mlt)	0.9074074074074074	0.98	0.9423076923076924	200.0
Mongolian (mon)	0.892018779342723	0.9595959595959596	0.9245742092457421	198.0
Maori (mri)	0.9947089947089947	0.9740932642487047	0.9842931937172774	193.0
Western Mari (mrj)	0.9948717948717949	0.97	0.9822784810126582	200.0
Malay (msa)	0.3921971252566735	0.9597989949748744	0.5568513119533527	199.0
Mirandese (mwl)	0.96875	0.93	0.9489795918367346	200.0
Burmese (mya)	1.0	1.0	1.0	200.0
Erzya (myv)	0.6590909090909091	0.725	0.6904761904761905	200.0
Mazanderani (mzn)	0.86	0.9148936170212766	0.8865979381443299	188.0
Min Nan Chinese (nan)	0.9732620320855615	0.9528795811518325	0.9629629629629629	191.0
Neapolitan (nap)	0.965034965034965	0.700507614213198	0.8117647058823529	197.0
Navajo (nav)	0.9949494949494949	0.985	0.9899497487437187	200.0
Classical Nahuatl (nci)	0.9818181818181818	0.542713567839196	0.6990291262135923	199.0
